Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,494.500000,502.500000,493.000000,498.700012,415.561249,6880852
2015-07-02,499.500000,500.700012,492.524994,494.000000,411.644745,4007568
2015-07-03,494.000000,496.500000,491.000000,495.149994,412.603058,2695306
2015-07-06,492.500000,494.000000,487.500000,491.649994,409.686493,4305602
2015-07-07,492.500000,495.000000,489.500000,490.250000,408.519897,3497418
2015-07-08,489.500000,489.500000,477.399994,478.750000,398.937103,7024178
2015-07-09,478.750000,483.000000,467.024994,469.000000,390.812531,8587772
2015-07-10,474.049988,476.049988,466.325012,468.750000,390.604187,7411522
2015-07-13,470.500000,477.500000,467.024994,475.075012,395.874756,6531768
2015-07-14,477.500000,486.750000,472.750000,485.625000,404.665955,5367074
2015-07-15,485.000000,492.975006,484.000000,492.000000,409.978149,4129566
2015-07-16,493.850006,495.750000,489.750000,494.524994,412.082245,3472938
2015-07-17,495.500000,502.250000,494.549988,500.924988,417.415283,3447978
2015-07-20,500.700012,505.399994,493.700012,500.625000,417.165253,4377180
2015-07-21,517.500000,574.500000,517.500000,556.325012,463.579559,38310112
2015-07-22,552.500000,556.000000,538.325012,551.575012,459.621338,12665660
2015-07-23,551.974976,558.500000,545.000000,549.000000,457.475616,7710748
2015-07-24,547.775024,553.224976,541.549988,543.799988,453.142578,4480302
2015-07-27,543.450012,543.974976,530.224976,532.650024,443.851379,6752244
2015-07-28,534.250000,538.000000,527.125000,531.424988,442.830566,8476602
2015-07-29,537.000000,546.000000,532.500000,542.700012,452.226013,7071334
2015-07-30,545.000000,545.000000,529.000000,535.000000,445.809631,11956598
2015-07-31,539.275024,540.674988,530.000000,538.525024,448.746948,7931012
2015-08-03,539.000000,546.000000,534.474976,539.474976,449.538483,7961012
2015-08-04,539.000000,539.474976,525.500000,528.625000,440.497345,9099054
2015-08-05,531.000000,545.000000,530.974976,543.174988,452.621674,4753476
2015-08-06,547.000000,552.750000,538.500000,543.474976,452.871765,7238252
2015-08-07,539.750000,550.500000,539.250000,547.799988,456.475647,4988058
2015-08-10,549.000000,553.174988,533.500000,543.000000,452.475952,3992754
2015-08-11,549.400024,558.450012,547.849976,554.575012,462.121307,7574406
2015-08-12,557.500000,574.500000,555.500000,572.200012,476.807922,10168440
2015-08-13,573.500000,583.424988,527.775024,579.000000,482.474365,9787960
2015-08-14,582.500000,584.349976,571.549988,574.625000,478.828705,5109066
2015-08-17,575.000000,576.724976,561.250000,571.075012,475.870544,3107436
2015-08-18,575.000000,588.849976,575.000000,582.174988,485.119995,4150446
2015-08-19,585.000000,593.099976,581.400024,587.775024,489.786499,6869518
2015-08-20,579.500000,584.250000,564.000000,567.275024,472.703949,8369114
2015-08-21,570.450012,580.474976,558.750000,574.950012,479.099457,10822142
2015-08-24,554.974976,561.500000,539.299988,546.025024,454.996613,14122684
2015-08-25,550.000000,559.500000,522.250000,542.825012,452.330139,13735078
2015-08-26,544.900024,548.500000,529.500000,532.299988,443.559784,11498212
2015-08-27,544.000000,550.049988,539.025024,541.400024,451.142670,15343392
2015-08-28,550.799988,562.450012,550.799988,555.525024,462.912903,7208820
2015-08-31,567.424988,567.424988,541.250000,547.200012,455.975708,9917064
2015-09-01,545.000000,557.299988,541.000000,544.500000,453.725861,9071550
2015-09-02,549.000000,557.500000,545.000000,549.724976,458.079803,11171830
2015-09-03,555.075012,556.000000,546.250000,549.674988,458.038055,8590536
2015-09-04,551.500000,555.500000,533.500000,536.974976,447.455292,7318888
2015-09-07,542.474976,542.500000,527.500000,529.375000,441.122375,5180988
2015-09-08,531.000000,537.000000,526.150024,529.400024,441.143219,5459496
2015-09-09,543.549988,549.799988,536.000000,544.349976,453.600861,9148664
2015-09-10,542.450012,545.750000,530.500000,540.224976,450.163483,8363004
2015-09-11,545.775024,553.200012,542.750000,545.375000,454.455017,9883810
2015-09-14,549.500000,552.000000,541.325012,549.875000,458.204742,6557076
2015-09-15,549.700012,551.599976,544.075012,549.599976,457.975525,5291886
2015-09-16,554.000000,554.875000,549.150024,550.825012,458.996399,7478240
2015-09-18,555.900024,558.950012,549.525024,552.224976,460.163025,11576876
2015-09-21,550.000000,554.424988,546.250000,552.325012,460.246399,4351234
2015-09-22,557.500000,567.974976,550.549988,553.724976,461.412933,9626986
2015-09-23,553.724976,563.174988,548.724976,558.125000,465.079376,4758254
2015-09-24,556.750000,576.349976,555.000000,570.275024,475.203857,13399262
2015-09-28,569.974976,571.424988,550.500000,552.775024,460.621368,9788464
2015-09-29,551.000000,566.700012,548.750000,560.924988,467.412628,8699370
2015-09-30,567.200012,584.474976,562.974976,580.974976,484.120026,9495692
2015-10-01,584.950012,598.875000,580.000000,586.525024,488.744934,10864394
2015-10-05,586.500000,594.674988,581.000000,590.875000,492.369751,6881760
2015-10-06,593.525024,596.275024,574.049988,577.299988,481.057739,8711880
2015-10-07,578.000000,584.375000,564.224976,566.599976,472.141510,9182488
2015-10-08,568.200012,574.799988,563.025024,566.075012,471.704071,9080874
2015-10-09,568.000000,586.450012,568.000000,583.700012,486.390747,11782138
2015-10-12,599.500000,609.900024,554.500000,561.450012,467.850098,30404970
2015-10-13,553.724976,555.500000,542.599976,549.700012,458.058899,15326862
2015-10-14,545.724976,557.775024,543.599976,548.799988,457.308929,8865510
2015-10-15,549.950012,552.174988,544.549988,548.674988,457.204865,8255666
2015-10-16,549.500000,550.700012,545.000000,547.450012,464.652649,6418992
2015-10-19,551.000000,558.000000,550.250000,555.974976,471.888275,7347494
2015-10-20,556.500000,565.000000,555.299988,562.974976,477.829620,8788310
2015-10-21,562.500000,573.424988,562.500000,569.200012,483.113190,7278098
2015-10-23,570.900024,576.500000,562.549988,574.950012,487.993530,6033362
2015-10-26,577.000000,579.250000,571.575012,576.075012,488.948395,3195942
2015-10-27,575.000000,577.500000,572.049988,574.700012,487.781372,5263748
2015-10-28,572.250000,579.000000,569.500000,576.599976,489.393951,5255472
2015-10-29,576.549988,577.950012,568.025024,572.525024,485.935272,5887324
2015-10-30,572.500000,572.500000,565.000000,567.724976,481.861267,4044676
2015-11-02,565.000000,567.900024,557.049988,565.599976,480.057556,3544988
2015-11-03,566.700012,575.224976,566.700012,572.750000,486.126282,3614682
2015-11-04,575.049988,578.799988,566.150024,568.400024,482.434174,3205572
2015-11-05,571.474976,572.500000,559.700012,561.450012,476.535309,2345306
2015-11-06,561.500000,571.950012,561.450012,569.150024,483.070801,3026172
2015-11-09,560.000000,570.000000,557.599976,567.299988,481.500519,6125676
2015-11-10,563.750000,563.750000,550.049988,551.924988,468.450958,4680052
2015-11-13,549.974976,553.000000,545.000000,550.400024,467.156525,3520868
2015-11-16,541.825012,547.000000,533.599976,540.099976,458.414307,6808334
2015-11-17,540.000000,541.450012,526.000000,530.750000,450.478424,7184106
2015-11-18,520.500000,522.575012,505.625000,510.000000,432.866669,10125252
2015-11-19,515.125000,526.000000,511.899994,523.900024,444.664429,8539622
2015-11-20,524.000000,531.599976,521.025024,526.200012,446.616577,6082978
2015-11-23,525.000000,531.200012,519.000000,526.849976,447.168243,5616350
2015-11-24,525.000000,525.400024,518.500000,520.575012,441.842346,4325802
2015-11-26,520.474976,529.750000,520.025024,526.200012,446.616577,9853968
2015-11-27,529.000000,535.000000,522.500000,533.174988,452.536652,5142478
2015-11-30,535.000000,549.150024,528.099976,543.950012,461.682098,18105534
2015-12-01,544.000000,547.500000,536.474976,539.500000,457.905060,5898550
2015-12-02,539.974976,539.974976,529.500000,530.349976,450.138916,6397616
2015-12-03,530.500000,532.400024,524.525024,528.875000,448.886993,5504726
2015-12-04,524.500000,532.450012,520.049988,524.525024,445.194977,8375530
2015-12-07,527.650024,529.500000,520.000000,523.125000,444.006622,4513870
2015-12-08,522.525024,531.375000,519.650024,522.200012,443.221497,5724372
2015-12-09,521.500000,523.474976,511.274994,514.099976,436.346558,6818254
2015-12-10,518.299988,525.799988,515.150024,523.674988,444.473480,5587746
2015-12-11,527.000000,530.950012,522.950012,526.400024,446.786316,5390198
2015-12-14,524.750000,536.575012,524.025024,534.750000,453.873505,4816672
2015-12-15,536.625000,539.549988,529.400024,538.775024,457.289673,5431808
2015-12-16,541.700012,549.000000,541.700012,547.924988,465.055756,5495852
2015-12-17,550.000000,554.900024,544.000000,553.549988,469.830078,4958782
2015-12-18,551.700012,551.700012,539.724976,541.575012,459.666229,7219820
2015-12-21,538.500000,553.700012,532.974976,551.724976,468.281128,4331012
2015-12-22,548.724976,548.724976,540.049988,541.875000,459.920868,4109254
2015-12-23,547.525024,551.250000,543.525024,550.424988,467.177734,2870928
2015-12-24,551.025024,552.224976,545.049988,548.174988,465.268036,1230054
2015-12-28,545.000000,555.000000,545.000000,552.375000,468.832886,5526952
2015-12-29,550.625000,555.000000,548.650024,552.349976,468.811615,3345062
2015-12-30,550.549988,553.299988,541.500000,543.150024,461.003052,5153970
2015-12-31,545.075012,554.974976,543.500000,552.700012,469.108612,7943938
2016-01-01,550.000000,554.474976,546.599976,552.625000,469.045044,1806550
2016-01-04,549.974976,551.224976,538.025024,539.450012,457.862640,3975362
2016-01-05,542.750000,542.750000,531.125000,537.025024,455.804352,4949786
2016-01-06,537.325012,537.325012,529.450012,534.674988,453.809784,5588328
2016-01-07,530.025024,533.950012,523.950012,525.400024,445.937592,5294088
2016-01-08,530.750000,533.700012,527.750000,531.650024,451.242340,3156716
2016-01-11,528.150024,534.974976,526.049988,527.849976,448.017029,5360622
2016-01-12,531.000000,531.474976,515.424988,524.974976,445.576843,6565212
2016-01-13,528.500000,545.500000,524.049988,541.700012,459.772308,8751294
2016-01-14,533.000000,577.500000,527.174988,566.500000,480.821564,30227006
2016-01-15,574.000000,582.000000,568.775024,569.950012,483.749756,13036614
2016-01-18,569.950012,581.049988,564.174988,565.950012,480.354706,10066612
2016-01-19,567.500000,579.474976,564.275024,569.825012,483.643555,7500436
2016-01-20,567.000000,580.000000,558.500000,560.625000,475.835114,7507998
2016-01-21,567.500000,571.250000,561.000000,568.525024,482.540283,6743000
2016-01-22,574.049988,576.250000,565.500000,568.125000,482.200684,6436018
2016-01-25,570.125000,573.424988,562.275024,568.825012,482.794830,4579262
2016-01-27,573.224976,574.799988,567.500000,569.250000,483.155670,6971962
2016-01-28,568.000000,571.299988,563.099976,564.799988,479.378601,7788598
2016-01-29,569.000000,585.000000,565.799988,582.450012,494.359222,10232108
2016-02-01,585.000000,589.950012,580.799988,586.674988,497.945221,4251126
2016-02-02,588.424988,595.000000,582.000000,587.775024,498.878906,7632702
2016-02-03,583.900024,587.950012,576.375000,578.849976,491.303680,5245966
2016-02-04,580.025024,597.474976,580.025024,589.875000,500.661316,5549346
2016-02-05,587.750000,593.325012,585.924988,587.349976,498.518066,3984224
2016-02-08,581.875000,586.099976,571.900024,575.400024,488.375549,4221044
2016-02-09,564.150024,564.150024,546.750000,553.825012,470.063599,7579572
2016-02-10,554.000000,563.750000,552.500000,554.275024,470.445465,5866054
2016-02-11,555.500000,556.500000,535.575012,539.325012,457.756531,5214378
2016-02-12,547.349976,552.200012,533.500000,542.325012,460.302765,7408096
2016-02-15,548.125000,550.099976,543.299988,545.875000,463.315887,5093478
2016-02-16,543.500000,546.375000,536.849976,539.575012,457.968658,5125448
2016-02-17,540.875000,551.500000,538.500000,548.924988,465.904602,4164598
2016-02-18,550.000000,563.500000,550.000000,561.700012,476.747467,4189072
2016-02-19,559.599976,567.099976,556.924988,563.625000,478.381378,3974018
2016-02-22,565.500000,566.974976,557.025024,563.325012,478.126709,3857010
2016-02-23,565.125000,566.250000,558.025024,561.950012,476.959595,2501960
2016-02-24,559.750000,571.875000,559.174988,562.674988,477.575043,4950714
2016-02-25,562.700012,565.299988,550.549988,555.150024,471.188080,4484528
2016-02-26,560.075012,566.000000,558.000000,560.575012,475.792694,4235636
2016-02-29,564.750000,565.200012,534.150024,542.025024,460.048187,8166076
2016-03-01,547.400024,565.150024,547.400024,562.724976,477.617523,6386154
2016-03-02,568.525024,581.750000,562.500000,578.000000,490.582245,7214898
2016-03-03,584.000000,596.424988,577.000000,584.650024,496.226410,5814304
2016-03-04,587.799988,592.500000,579.549988,585.325012,496.799438,4281680
2016-03-08,581.500000,595.250000,573.700012,581.724976,493.743835,7617746
2016-03-09,572.500000,591.875000,571.474976,589.250000,500.130768,6305782
2016-03-10,581.450012,581.450012,569.674988,571.250000,484.853088,24381016
2016-03-11,573.099976,577.974976,569.099976,571.500000,485.065247,4058548
2016-03-14,573.000000,577.125000,569.250000,570.599976,484.301453,4174262
2016-03-15,572.000000,577.250000,564.474976,567.200012,481.415619,6720258
2016-03-16,570.950012,577.500000,565.775024,576.224976,489.075623,5588850
2016-03-17,578.450012,584.875000,577.025024,580.875000,493.022430,6474622
2016-03-18,581.400024,599.500000,581.000000,596.700012,506.454041,8477422
2016-03-21,594.000000,599.500000,590.025024,597.450012,507.090607,5138392
2016-03-22,595.625000,597.000000,586.000000,594.974976,504.989929,7097950
2016-03-23,595.000000,605.349976,591.049988,603.900024,512.565125,6333176
2016-03-28,616.200012,618.500000,597.875000,602.450012,511.334442,10787510
2016-03-29,599.500000,609.450012,595.775024,598.625000,508.087921,6995356
2016-03-30,598.799988,605.000000,597.775024,602.974976,511.779938,5756818
2016-03-31,605.125000,614.950012,600.150024,609.150024,517.021057,17996320
2016-04-01,608.000000,611.099976,597.549988,602.724976,511.567688,5511428
2016-04-04,606.775024,624.000000,606.775024,621.849976,527.800293,4577054
2016-04-05,621.000000,621.150024,607.000000,609.900024,517.657593,4790716
2016-04-06,614.000000,614.000000,598.000000,600.349976,509.551941,4931354
2016-04-07,604.200012,604.200012,587.500000,590.750000,501.403931,5657890
2016-04-08,587.924988,588.750000,581.025024,582.875000,494.719910,4195578
2016-04-11,582.900024,593.375000,575.549988,591.950012,502.422394,5768678
2016-04-12,590.250000,597.450012,589.299988,591.099976,501.700897,5842138
2016-04-13,597.474976,597.474976,583.174988,586.349976,497.669373,12511386
2016-04-18,625.000000,633.950012,616.750000,619.349976,525.678345,25015990
2016-04-20,622.000000,623.224976,612.900024,621.799988,527.757813,8072848
2016-04-21,625.500000,625.500000,609.049988,613.150024,520.416077,5441100
2016-04-22,613.150024,614.250000,603.500000,605.625000,514.029175,5143938
2016-04-25,606.025024,612.400024,600.549988,607.924988,515.981262,5364134
2016-04-26,607.724976,619.775024,604.299988,616.075012,522.898743,5846744
2016-04-27,614.599976,621.174988,614.275024,620.075012,526.293701,4486208
2016-04-28,615.500000,619.799988,603.500000,604.575012,513.138000,12165168
2016-04-29,605.724976,611.775024,602.500000,604.049988,512.692322,5036410
2016-05-02,605.000000,605.575012,598.075012,600.525024,509.700500,3615250
2016-05-03,601.375000,606.099976,585.900024,588.900024,499.833679,6824810
2016-05-04,590.500000,596.500000,585.325012,594.424988,504.523132,5812842
2016-05-05,597.575012,599.500000,590.549988,596.224976,506.050903,6302668
2016-05-06,594.900024,594.900024,588.525024,590.750000,501.403931,2596720
2016-05-09,591.000000,600.775024,590.299988,599.525024,508.851685,5123678
